id,REF_AREA,TIME_PERIOD,RIVER_FLOOD_VALUE,TERRITORIAL_LEVEL
CL005C2015,CL005C,2015,46.0,CITY
USA12F2000,USA12F,2000,1.3,FUA
USA12F2015,USA12F,2015,1.5,FUA
DE009C2000,DE009C,2000,13.2,CITY
DE009C2015,DE009C,2015,13.3,CITY
HR002F2000,HR002F,2000,0.0,FUA
HR002F2015,HR002F,2015,0.0,FUA
MEX41C2000,MEX41C,2000,9.4,CITY
MEX41C2015,MEX41C,2015,9.4,CITY
BG002F2000,BG002F,2000,23.0,FUA
BG002F2015,BG002F,2015,23.1,FUA
USA27F2000,USA27F,2000,0.8,FUA
USA27F2015,USA27F,2015,0.8,FUA
FR034F2000,FR034F,2000,0.0,FUA
FR034F2015,FR034F,2015,0.0,FUA
ES037C2000,ES037C,2000,0.0,CITY
ES037C2015,ES037C,2015,0.0,CITY
PL041F2000,PL041F,2000,0.9,FUA
PL041F2015,PL041F,2015,0.8,FUA
USA182C2000,USA182C,2000,0.0,CITY
USA182C2015,USA182C,2015,0.0,CITY
UK553F2000,UK553F,2000,0.3,FUA
UK553F2015,UK553F,2015,0.3,FUA
AUS01F2000,AUS01F,2000,0.4,FUA
AUS01F2015,AUS01F,2015,0.4,FUA
RO032F2000,RO032F,2000,0.0,FUA
RO032F2015,RO032F,2015,0.0,FUA
ES014C2000,ES014C,2000,13.9,CITY
ES014C2015,ES014C,2015,13.7,CITY
UK008F2000,UK008F,2000,1.7,FUA
UK008F2015,UK008F,2015,1.8,FUA
USA201C2000,USA201C,2000,0.0,CITY
USA201C2015,USA201C,2015,0.0,CITY
ES032C2000,ES032C,2000,0.0,CITY
ES032C2015,ES032C,2015,0.0,CITY
IT036C2000,IT036C,2000,1.4,CITY
IT036C2015,IT036C,2015,1.3,CITY
NL037F2000,NL037F,2000,46.9,FUA
NL037F2015,NL037F,2015,47.9,FUA
PL039C2000,PL039C,2000,0.0,CITY
PL039C2015,PL039C,2015,0.0,CITY
UK031C2000,UK031C,2000,12.5,CITY
UK031C2015,UK031C,2015,12.3,CITY
BE009C2000,BE009C,2000,1.7,CITY
BE009C2015,BE009C,2015,1.7,CITY
MEX09F2000,MEX09F,2000,0.0,FUA
MEX09F2015,MEX09F,2015,0.0,FUA
FR038C2000,FR038C,2000,0.0,CITY
FR038C2015,FR038C,2015,0.0,CITY
USA39C2000,USA39C,2000,1.5,CITY
USA39C2015,USA39C,2015,1.5,CITY
USA143F2000,USA143F,2000,0.2,FUA
USA143F2015,USA143F,2015,0.2,FUA
USA125F2000,USA125F,2000,0.0,FUA
USA125F2015,USA125F,2015,0.0,FUA
JPN16F2000,JPN16F,2000,0.0,FUA
JPN16F2015,JPN16F,2015,0.0,FUA
USA165C2000,USA165C,2000,3.7,CITY
USA165C2015,USA165C,2015,3.7,CITY
UK556C2000,UK556C,2000,0.0,CITY
UK556C2015,UK556C,2015,0.0,CITY
SK001F2000,SK001F,2000,19.0,FUA
SK001F2015,SK001F,2015,18.4,FUA
TR020F2000,TR020F,2000,7.0,FUA
TR020F2015,TR020F,2015,7.8,FUA
USA200C2000,USA200C,2000,0.0,CITY
USA200C2015,USA200C,2015,0.0,CITY
USA26C2000,USA26C,2000,0.1,CITY
USA26C2015,USA26C,2015,0.1,CITY
IT002C2000,IT002C,2000,2.3,CITY
IT002C2015,IT002C,2015,2.2,CITY
AUS19C2000,AUS19C,2000,0.0,CITY
AUS19C2015,AUS19C,2015,0.0,CITY
USA133C2000,USA133C,2000,0.0,CITY
USA133C2015,USA133C,2015,0.0,CITY
MEX39C2000,MEX39C,2000,0.0,CITY
MEX39C2015,MEX39C,2015,0.0,CITY
RO014F2000,RO014F,2000,30.2,FUA
RO014F2015,RO014F,2015,30.1,FUA
HU018C2000,HU018C,2000,0.0,CITY
HU018C2015,HU018C,2015,0.0,CITY
FR013F2000,FR013F,2000,28.3,FUA
FR013F2015,FR013F,2015,26.7,FUA
ES047F2000,ES047F,2000,35.1,FUA
ES047F2015,ES047F,2015,34.1,FUA
USA166F2000,USA166F,2000,7.0,FUA
USA166F2015,USA166F,2015,7.0,FUA
CH006F2000,CH006F,2000,10.0,FUA
CH006F2015,CH006F,2015,10.0,FUA
RO030F2000,RO030F,2000,1.7,FUA
RO030F2015,RO030F,2015,1.8,FUA
UK008C2000,UK008C,2000,2.0,CITY
UK008C2015,UK008C,2015,2.1,CITY
PT010C2000,PT010C,2000,0.1,CITY
PT010C2015,PT010C,2015,0.1,CITY
CL023F2000,CL023F,2000,51.3,FUA
CL023F2015,CL023F,2015,51.6,FUA
USA49C2000,USA49C,2000,0.0,CITY
USA49C2015,USA49C,2015,0.0,CITY
USA148F2000,USA148F,2000,0.0,FUA
USA148F2015,USA148F,2015,0.0,FUA
SE012F2000,SE012F,2000,3.6,FUA
SE012F2015,SE012F,2015,3.2,FUA
COL10F2000,COL10F,2000,0.1,FUA
COL10F2015,COL10F,2015,0.2,FUA
USA91C2000,USA91C,2000,0.0,CITY
USA91C2015,USA91C,2015,0.0,CITY
DE081F2000,DE081F,2000,21.2,FUA
DE081F2015,DE081F,2015,21.5,FUA
USA164C2000,USA164C,2000,10.3,CITY
USA164C2015,USA164C,2015,10.3,CITY
USA125C2000,USA125C,2000,0.0,CITY
USA125C2015,USA125C,2015,0.0,CITY
BG017F2000,BG017F,2000,11.7,FUA
BG017F2015,BG017F,2015,12.0,FUA
HU004C2000,HU004C,2000,0.0,CITY
HU004C2015,HU004C,2015,0.0,CITY
AUS15C2000,AUS15C,2000,0.0,CITY
AUS15C2015,AUS15C,2015,0.0,CITY
UK554C2000,UK554C,2000,7.4,CITY
UK554C2015,UK554C,2015,7.5,CITY
RO007C2000,RO007C,2000,19.3,CITY
RO007C2015,RO007C,2015,19.9,CITY
AUS05C2000,AUS05C,2000,0.0,CITY
AUS05C2015,AUS05C,2015,0.0,CITY
IT023C2000,IT023C,2000,0.0,CITY
IT023C2015,IT023C,2015,0.0,CITY
JPN22F2000,JPN22F,2000,0.0,FUA
JPN22F2015,JPN22F,2015,0.0,FUA
ES023C2000,ES023C,2000,0.0,CITY
ES023C2015,ES023C,2015,0.0,CITY
USA04C2000,USA04C,2000,1.3,CITY
USA04C2015,USA04C,2015,1.2,CITY
PL008F2000,PL008F,2000,11.9,FUA
PL008F2015,PL008F,2015,11.9,FUA
IT001F2000,IT001F,2000,5.5,FUA
IT001F2015,IT001F,2015,5.5,FUA
MEX40F2000,MEX40F,2000,4.0,FUA
MEX40F2015,MEX40F,2015,4.0,FUA
RO031F2000,RO031F,2000,62.6,FUA
RO031F2015,RO031F,2015,64.1,FUA
PL050C2000,PL050C,2000,0.0,CITY
PL050C2015,PL050C,2015,0.0,CITY
FR048C2000,FR048C,2000,24.0,CITY
